Case #1: correct=False, output=None ; accuracy=0.000 (0/1)
Case #2: correct=False, output='(1 + 7) * (4 + 8)  = 96' ; accuracy=0.000 (0/2)
Case #3: correct=True, output='(11 - 5) * (8 / 2)  = 24' ; accuracy=0.333 (1/3)
Case #4: correct=True, output='((3 + 4) + 4) + 13  = 24' ; accuracy=0.500 (2/4)
Case #5: correct=False, output='(9 - 7) * (8 / 2) * 6  = 48.0' ; accuracy=0.400 (2/5)
Case #6: correct=True, output='(1 + 11) * (13 - 11)  = 24' ; accuracy=0.500 (3/6)
Case #7: correct=True, output='(10 - 8) * (1 + 11)  = 24' ; accuracy=0.571 (4/7)
Case #8: correct=True, output='(9 - 3) * (6 - 2)  = 24' ; accuracy=0.625 (5/8)
Case #9: correct=True, output='(5 * 3) + (9 * 1)  = 24' ; accuracy=0.667 (6/9)
Case #10: correct=True, output='((7 - 3) * 3) + 12  = 24' ; accuracy=0.700 (7/10)
Case #11: correct=False, output=None ; accuracy=0.636 (7/11)
Case #12: correct=True, output='((1 + 13) + (2 + 8))  = 24' ; accuracy=0.667 (8/12)
Case #13: correct=False, output='(9 + 6) + (6 * 4)  = 39' ; accuracy=0.615 (8/13)
Case #14: correct=True, output='(1 * 4) * 4 + 8  = 24' ; accuracy=0.643 (9/14)
Case #15: correct=False, output=None ; accuracy=0.600 (9/15)
Case #16: correct=True, output='((3 + 11) + (4 + 6))  = 24' ; accuracy=0.625 (10/16)
Case #17: correct=True, output='(9 - (2 + 4)) * 8  = 24' ; accuracy=0.647 (11/17)
Case #18: correct=False, output=None ; accuracy=0.611 (11/18)
Case #19: correct=True, output='((12 - 2) + (7 * 2))  = 24' ; accuracy=0.632 (12/19)
Case #20: correct=False, output=None ; accuracy=0.600 (12/20)
Case #21: correct=True, output='(1 + 5) * (13 - 9)  = 24' ; accuracy=0.619 (13/21)
Case #22: correct=False, output='13 - 7  = 6' ; accuracy=0.591 (13/22)
Case #23: correct=False, output='10 - 5  = 5' ; accuracy=0.565 (13/23)
Case #24: correct=True, output='((4 + 6) + 2) + 12  = 24' ; accuracy=0.583 (14/24)
Case #25: correct=False, output='(11 + 7 + 6) * (24/8)  = 72.0' ; accuracy=0.560 (14/25)
Case #26: correct=False, output=None ; accuracy=0.538 (14/26)
Case #27: correct=True, output='((12 - 3) + 6) + 9  = 24' ; accuracy=0.556 (15/27)
Case #28: correct=False, output='13 - 9  = 4' ; accuracy=0.536 (15/28)
Case #29: correct=False, output='((13 - 9) + 7) + 4  = 15' ; accuracy=0.517 (15/29)
Case #30: correct=False, output=None ; accuracy=0.500 (15/30)
Case #31: correct=False, output=None ; accuracy=0.484 (15/31)
Case #32: correct=False, output='10 - 2  = 8' ; accuracy=0.469 (15/32)
Case #33: correct=False, output=None ; accuracy=0.455 (15/33)
Case #34: correct=True, output='(6 + (9 * (11 - 9)))  = 24' ; accuracy=0.471 (16/34)
Case #35: correct=True, output='((12 - 8) * (11 - 5))  = 24' ; accuracy=0.486 (17/35)
Case #36: correct=True, output='(8 * 5) / 10 * 6  = 24' ; accuracy=0.500 (18/36)
Case #37: correct=True, output='((13 - 11) * 6) + 12  = 24' ; accuracy=0.514 (19/37)
Case #38: correct=False, output='8 / 2  = 4.0' ; accuracy=0.500 (19/38)
Case #39: correct=True, output='((13 - 7) * 2) + 12  = 24' ; accuracy=0.513 (20/39)
Case #40: correct=False, output='(2 * 6) + 12  = 24' ; accuracy=0.500 (20/40)
Case #41: correct=False, output=None ; accuracy=0.488 (20/41)
Case #42: correct=False, output='10 / 5  = 2.0' ; accuracy=0.476 (20/42)
Case #43: correct=False, output=None ; accuracy=0.465 (20/43)
Case #44: correct=False, output=None ; accuracy=0.455 (20/44)
Case #45: correct=True, output='(6 / (13 - 10)) * 12  = 24' ; accuracy=0.467 (21/45)
Case #46: correct=False, output=None ; accuracy=0.457 (21/46)
Case #47: correct=False, output=None ; accuracy=0.447 (21/47)
Case #48: correct=True, output='(2 + 10) + (3 + 9)  = 24' ; accuracy=0.458 (22/48)
Case #49: correct=False, output=None ; accuracy=0.449 (22/49)
Case #50: correct=True, output='((6 - 1) * 6) - 6  = 24' ; accuracy=0.460 (23/50)
Case #51: correct=False, output=None ; accuracy=0.451 (23/51)
Case #52: correct=True, output='(1 + 11) / 3 * 6  = 24' ; accuracy=0.462 (24/52)
Case #53: correct=False, output='(13 - 5) * (10 - 8) * 12  = 192' ; accuracy=0.453 (24/53)
Case #54: correct=True, output='(6 / 3 + 2) * 6  = 24' ; accuracy=0.463 (25/54)
Case #55: correct=True, output='(12 / 6 * 7) + 10  = 24' ; accuracy=0.473 (26/55)
Case #56: correct=True, output='((7 + 8) - 12) * 8  = 24' ; accuracy=0.482 (27/56)
Case #57: correct=False, output='(4 * 6)  = 24' ; accuracy=0.474 (27/57)
Case #58: correct=True, output='(1 + 11) * (9 - 7)  = 24' ; accuracy=0.483 (28/58)
Case #59: correct=True, output='((13 + 6) + 2) + 3  = 24' ; accuracy=0.492 (29/59)
Case #60: correct=True, output='(5 * 2) + (2 + 12)  = 24' ; accuracy=0.500 (30/60)
Case #61: correct=False, output=None ; accuracy=0.492 (30/61)
Case #62: correct=False, output='12 - 8  = 4' ; accuracy=0.484 (30/62)
Case #63: correct=True, output='((8 + 13) * 1) + 3  = 24' ; accuracy=0.492 (31/63)
Case #64: correct=False, output=None ; accuracy=0.484 (31/64)
Case #65: correct=False, output=None ; accuracy=0.477 (31/65)
Case #66: correct=False, output=None ; accuracy=0.470 (31/66)
Case #67: correct=True, output='((11 + 4) + (3 * 3))  = 24' ; accuracy=0.478 (32/67)
Case #68: correct=True, output='((7 + 7) + (5 * 2))  = 24' ; accuracy=0.485 (33/68)
Case #69: correct=False, output=None ; accuracy=0.478 (33/69)
Case #70: correct=True, output='((7 - 3) + 2) * 4  = 24' ; accuracy=0.486 (34/70)
Case #71: correct=False, output='((8 + 4) + 4) + 8  = 24' ; accuracy=0.479 (34/71)
Case #72: correct=False, output=None ; accuracy=0.472 (34/72)
Case #73: correct=True, output='(1 + 5) * (12 / 6) * 2  = 24' ; accuracy=0.479 (35/73)
Case #74: correct=True, output='((8 - 5) * 6) + 6  = 24' ; accuracy=0.486 (36/74)
Case #75: correct=True, output='((7 + 7) - 11) * 8  = 24' ; accuracy=0.493 (37/75)
Case #76: correct=False, output=None ; accuracy=0.487 (37/76)
Case #77: correct=False, output='(3 + 9) * (12 / (12 / 3))  = 36.0' ; accuracy=0.481 (37/77)
Case #78: correct=False, output=None ; accuracy=0.474 (37/78)
Case #79: correct=True, output='(4 * (13 - 10)) + 12  = 24' ; accuracy=0.481 (38/79)
Case #80: correct=False, output='(2 + 10) * (12 - 3)  = 108' ; accuracy=0.475 (38/80)
Case #81: correct=False, output=None ; accuracy=0.469 (38/81)
