Case #1: correct=False, output=None ; accuracy=0.000 (0/1)
Case #2: correct=False, output=None ; accuracy=0.000 (0/2)
Case #3: correct=False, output=None ; accuracy=0.000 (0/3)
Case #4: correct=False, output='(3 + 4) * (4 + 13) = 24' ; accuracy=0.000 (0/4)
Case #5: correct=False, output='(9 - 7) * (8 + 6) = 24' ; accuracy=0.000 (0/5)
Case #6: correct=False, output='(13 - 1) + (11 + 11) = 24' ; accuracy=0.000 (0/6)
Case #7: correct=False, output='(8 * 11) / (10 - 1)  = 9.777777777777779' ; accuracy=0.000 (0/7)
Case #8: correct=False, output=None ; accuracy=0.000 (0/8)
Case #9: correct=False, output='2 * (3 + (5 + 9)) = 24' ; accuracy=0.000 (0/9)
Case #10: correct=False, output=None ; accuracy=0.000 (0/10)
Case #11: correct=False, output=None ; accuracy=0.000 (0/11)
Case #12: correct=False, output=None ; accuracy=0.000 (0/12)
Case #13: correct=False, output='(6 * 4) * (9 * 2.67) = 24' ; accuracy=0.000 (0/13)
Case #14: correct=True, output='(1 * 4 * 4) + 8 = 24' ; accuracy=0.071 (1/14)
Case #15: correct=False, output='(11 - 10) * (1 + 5)  = 6' ; accuracy=0.067 (1/15)
Case #16: correct=False, output='6 * 4 = 24' ; accuracy=0.062 (1/16)
Case #17: correct=False, output=None ; accuracy=0.059 (1/17)
Case #18: correct=False, output=None ; accuracy=0.056 (1/18)
Case #19: correct=False, output='(2 * 2) + 7 + 12 = 24' ; accuracy=0.053 (1/19)
Case #20: correct=False, output='(3 * 5) + (7 - 2) = 24' ; accuracy=0.050 (1/20)
Case #21: correct=False, output='(1 + 5) * (9 - 13) = 24' ; accuracy=0.048 (1/21)
Case #22: correct=False, output='(5 + 7) + (6 * 13) = 24' ; accuracy=0.045 (1/22)
Case #23: correct=False, output=None ; accuracy=0.043 (1/23)
Case #24: correct=False, output='(4 * 6) * 2 = 24' ; accuracy=0.042 (1/24)
Case #25: correct=False, output=None ; accuracy=0.040 (1/25)
Case #26: correct=False, output=None ; accuracy=0.038 (1/26)
Case #27: correct=True, output='(6 * 3) * (12 / 9)  = 24' ; accuracy=0.074 (2/27)
Case #28: correct=False, output='(12 + 12) / (6 / 9) = 24' ; accuracy=0.071 (2/28)
Case #29: correct=False, output='(13 - 7) * (4 + 9) = 24' ; accuracy=0.069 (2/29)
Case #30: correct=False, output=None ; accuracy=0.067 (2/30)
Case #31: correct=False, output='(7 * 4) / (2 * 6)  = 2.3333333333333335' ; accuracy=0.065 (2/31)
Case #32: correct=False, output=None ; accuracy=0.062 (2/32)
Case #33: correct=False, output='(6 * 7) / (12 / 2)  = 7.0' ; accuracy=0.061 (2/33)
Case #34: correct=False, output=None ; accuracy=0.059 (2/34)
Case #35: correct=False, output=None ; accuracy=0.057 (2/35)
Case #36: correct=False, output='(5 * 6) - (8 * 3) = 24' ; accuracy=0.056 (2/36)
Case #37: correct=False, output='(6 * (13 - 11)) + (12 + 12) = 24' ; accuracy=0.054 (2/37)
Case #38: correct=False, output='(8 - 2) * (2 * 8) = 24' ; accuracy=0.053 (2/38)
Case #39: correct=False, output='(13 - 7) * (12 * 2) = 24' ; accuracy=0.051 (2/39)
Case #40: correct=False, output='(2 * 12) * (6 / 4) = 24' ; accuracy=0.050 (2/40)
Case #41: correct=False, output=None ; accuracy=0.049 (2/41)
Case #42: correct=False, output=None ; accuracy=0.048 (2/42)
Case #43: correct=False, output='(7 - 2) * (1 + 11)  = 60' ; accuracy=0.047 (2/43)
Case #44: correct=False, output='(4 * 6) = 24' ; accuracy=0.045 (2/44)
