Case #1: correct=False, output=None ; accuracy=0.000 (0/1)
Case #2: correct=False, output=None ; accuracy=0.000 (0/2)
Case #3: correct=False, output=None ; accuracy=0.000 (0/3)
Case #4: correct=False, output=None ; accuracy=0.000 (0/4)
Case #5: correct=False, output=None ; accuracy=0.000 (0/5)
Case #6: correct=False, output=None ; accuracy=0.000 (0/6)
Case #7: correct=False, output=None ; accuracy=0.000 (0/7)
Case #8: correct=False, output=None ; accuracy=0.000 (0/8)
Case #9: correct=False, output=None ; accuracy=0.000 (0/9)
Case #10: correct=False, output=None ; accuracy=0.000 (0/10)
Case #11: correct=False, output=None ; accuracy=0.000 (0/11)
Case #12: correct=True, output='((1 + 2) + 8) + 13 = 24' ; accuracy=0.083 (1/12)
Case #13: correct=False, output=None ; accuracy=0.077 (1/13)
Case #14: correct=False, output=None ; accuracy=0.071 (1/14)
Case #15: correct=False, output=None ; accuracy=0.067 (1/15)
Case #16: correct=False, output=None ; accuracy=0.062 (1/16)
Case #17: correct=False, output=None ; accuracy=0.059 (1/17)
Case #18: correct=False, output=None ; accuracy=0.056 (1/18)
Case #19: correct=False, output=None ; accuracy=0.053 (1/19)
Case #20: correct=False, output=None ; accuracy=0.050 (1/20)
Case #21: correct=False, output=None ; accuracy=0.048 (1/21)
Case #22: correct=False, output=None ; accuracy=0.045 (1/22)
Case #23: correct=False, output=None ; accuracy=0.043 (1/23)
Case #24: correct=False, output='((2 * 6) - 12) * (4 * 12) = 24' ; accuracy=0.042 (1/24)
Case #25: correct=False, output=None ; accuracy=0.040 (1/25)
Case #26: correct=False, output='(9 + 9) - (7 + 13) = 24' ; accuracy=0.038 (1/26)
Case #27: correct=False, output=None ; accuracy=0.037 (1/27)
Case #28: correct=False, output=None ; accuracy=0.036 (1/28)
Case #29: correct=False, output=None ; accuracy=0.034 (1/29)
Case #30: correct=False, output=None ; accuracy=0.033 (1/30)
Case #31: correct=False, output='(2 * 6) * (4 * 7) = 24' ; accuracy=0.032 (1/31)
Case #32: correct=False, output=None ; accuracy=0.031 (1/32)
Case #33: correct=False, output=None ; accuracy=0.030 (1/33)
Case #34: correct=False, output=None ; accuracy=0.029 (1/34)
Case #35: correct=False, output=None ; accuracy=0.029 (1/35)
Case #36: correct=False, output=None ; accuracy=0.028 (1/36)
Case #37: correct=False, output='((6 * 11) / 12) * 2 + 13 = 24' ; accuracy=0.027 (1/37)
Case #38: correct=False, output=None ; accuracy=0.026 (1/38)
Case #39: correct=False, output=None ; accuracy=0.026 (1/39)
Case #40: correct=False, output=None ; accuracy=0.025 (1/40)
Case #41: correct=False, output=None ; accuracy=0.024 (1/41)
Case #42: correct=False, output=None ; accuracy=0.024 (1/42)
Case #43: correct=False, output=None ; accuracy=0.023 (1/43)
Case #44: correct=False, output=None ; accuracy=0.023 (1/44)
Case #45: correct=False, output=None ; accuracy=0.022 (1/45)
Case #46: correct=False, output=None ; accuracy=0.022 (1/46)
Case #47: correct=False, output=None ; accuracy=0.021 (1/47)
Case #48: correct=False, output=None ; accuracy=0.021 (1/48)
Case #49: correct=False, output=None ; accuracy=0.020 (1/49)
Case #50: correct=False, output=None ; accuracy=0.020 (1/50)
Case #51: correct=False, output=None ; accuracy=0.020 (1/51)
Case #52: correct=False, output=None ; accuracy=0.019 (1/52)
Case #53: correct=False, output=None ; accuracy=0.019 (1/53)
Case #54: correct=False, output='(2 + 6) * (3 * 8) = 24' ; accuracy=0.019 (1/54)
Case #55: correct=False, output=None ; accuracy=0.018 (1/55)
Case #56: correct=False, output='((7 + 8) * (8 * 12)) - 8 * 15 = 24' ; accuracy=0.018 (1/56)
